Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2023-06-20 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-21 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-22 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-23 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-26 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-27 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-28 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-06-30 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-03 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-04 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-05 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-06 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-07 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-10 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-11 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-12 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-13 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-14 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-17 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-18 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-19 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-20 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
2023-07-21 00:00:00+05:30,10.614714622497559,10.614714622497559,10.614714622497559,10.614714622497559,0.0,0.0,0.0
