Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,0.0000,,,,,,,0
2023-06-21,0.0000,,,,,,,0
2023-06-22,0.0000,,,,,,,0
2023-06-25,0.0000,,,,,,,0
2023-06-26,0.0000,,,,,,,0
2023-06-27,0.0000,,,,,,,0
2023-06-29,0.0000,,,,,,,0
2023-07-02,0.0000,,,,,,,0
2023-07-03,0.0000,,,,,,,0
2023-07-04,0.0000,,,,,,,0
2023-07-05,0.0000,,,,,,,0
2023-07-06,0.0000,,,,,,,0
2023-07-09,0.0000,,,,,,,0
2023-07-10,0.0000,,,,,,,0
2023-07-11,0.0000,,,,,,,0
2023-07-12,0.0000,,,,,,,0
2023-07-13,0.0000,,,,,,,0
2023-07-16,0.0000,,,,,,,0
2023-07-17,0.0000,,,,,,,0
2023-07-18,0.0000,,,,,,,0
2023-07-19,0.0000,,,,,,,0
2023-07-20,0.0000,,,,,,,0
2023-07-23,0.0000,,,,,,,0
2023-07-24,0.0000,,,,,,,0
2023-07-25,0.0000,,,,,,,0
2023-07-26,0.0000,,,,,,,0
2023-07-27,0.0000,,,,,,,0
2023-07-30,0.0000,,,,,,,0
2023-07-31,0.0000,,,,,,,0
2023-08-01,0.0000,,,,,,,0
2023-08-02,0.0000,,,,,,,0
2023-08-03,0.0000,,,,,,,0
2023-08-06,0.0000,,,,,,,0
2023-08-07,0.0000,,,,,,,0
2023-08-08,0.7910,,,,,,,0
2023-08-09,0.0000,,,,,,,0
2023-08-10,0.0000,,,,,,,0
2023-08-13,0.0000,,,,,,,0
2023-08-15,0.0000,,,,,,,0
2023-08-16,0.0000,,,,,,,0
2023-08-17,0.0000,,,,,,,0
2023-08-20,0.0000,,,,,,,0
2023-08-21,17.1294,,,,,,,0
2023-08-22,0.0000,,,,,,,0
2023-08-23,0.0000,,,,,,,0
2023-08-24,0.0000,,,,,,,0
2023-08-27,0.0000,,,,,,,0
2023-08-28,0.0000,,,,,,,0
2023-08-29,0.0000,,,,,,,0
2023-08-30,0.0000,,,,,,,0
2023-08-31,0.0000,,,,,,,0
2023-09-03,0.0000,,,,,,,0
2023-09-04,0.0000,,,,,,,0
2023-09-05,0.0000,,,,,,,0
2023-09-06,0.0000,,,,,,,0
2023-09-07,0.0000,,,,,,,0
2023-09-10,0.0000,,,,,,,0
2023-09-11,0.0000,,,,,,,0
2023-09-12,0.0000,,,,,,,0
2023-09-13,0.0000,,,,,,,0
2023-09-14,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-17,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-19,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-20,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-21,0.5873,2.7763,0.1042,0.0000,1.0000,0.2116,54.1176,1
2023-09-24,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-25,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-26,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-27,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-09-28,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-02,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-03,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-04,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-05,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-08,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-09,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-10,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-11,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-12,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-15,0.0000,2.7763,0.1042,0.0000,1.0000,0.0000,14.0441,1
2023-10-16,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-17,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-18,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-19,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-22,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-24,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-25,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-26,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-29,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-30,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-10-31,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-01,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-02,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-05,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-06,-0.1951,2.2174,0.1337,0.0000,0.9756,0.0880,43.3824,0
2023-11-07,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-08,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-09,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-12,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-14,0.0000,2.2174,0.1337,0.0000,0.9756,0.0000,14.0441,0
2023-11-15,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-16,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-19,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-20,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-21,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-22,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-23,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-27,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-28,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-29,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-11-30,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-03,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-04,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-05,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-06,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-07,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-10,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-11,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
2023-12-12,0.0000,1.8137,0.1817,0.0000,0.9449,0.0000,14.0441,0
