Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-15,5.6577,0.0451,0.2231,0.0588,0.0000,0.1848,1.0945,2.0000,0.3831,0.0462,0.6927,0.3589,-0.0882
2023-10-16,5.8657,0.0361,2.6499,0.0142,0.0000,1.2510,1.0956,3.0000,0.2921,0.0441,0.6741,1.6582,-0.1347
2023-10-17,5.6993,-0.0288,0.7388,0.0584,0.0000,0.3277,1.1169,0.0000,0.4741,0.0142,0.6678,1.2215,-0.1095
2023-10-18,5.9489,0.0429,0.5014,0.0140,0.0000,0.2824,1.1693,1.0000,0.2971,0.0292,0.6530,1.3934,-0.1469
2023-10-19,5.9073,-0.0070,0.8661,0.0211,0.0000,0.3788,1.1951,0.0000,0.2978,0.0000,0.6405,0.9106,-0.1408
2023-10-22,5.9073,0.0000,0.3702,0.0775,0.0000,0.2235,1.1134,0.0000,0.2269,0.0493,0.6329,0.8746,-0.1408
2023-10-24,5.9489,0.0070,0.5446,0.0350,0.0000,0.3193,1.1341,1.0000,0.0941,0.0423,0.6203,1.0836,-0.1469
2023-10-25,5.9073,-0.0070,0.3314,0.0211,0.0000,0.2133,1.0487,0.0000,0.3966,0.0140,0.6295,0.8530,-0.1408
2023-10-26,5.9073,0.0000,0.1741,0.0352,0.0000,0.1540,0.9705,0.0000,0.4318,0.0000,0.6339,0.7864,-0.1408
2023-10-29,5.9489,0.0070,0.2964,0.0420,0.0000,0.2476,0.9935,1.0000,0.3843,0.0000,0.6246,0.8528,-0.1469
2023-10-30,5.9905,0.0070,0.1848,0.0347,0.0000,0.1628,0.8636,2.0000,0.3374,0.0070,0.6212,0.8611,-0.1528
2023-10-31,5.6993,-0.0498,0.4550,0.0803,0.0000,0.2358,0.9889,0.0000,-0.0692,0.0278,0.6101,0.5886,-0.1095
2023-11-01,5.4081,-0.0524,0.4533,0.0769,0.0000,0.3224,1.1185,0.0000,-0.2900,0.0219,0.5921,0.3265,-0.0615
2023-11-02,5.4497,0.0077,0.4882,0.0763,0.0000,0.2904,0.9331,1.0000,-0.2506,0.0462,0.5693,0.5098,-0.0687
2023-11-05,5.6993,0.0448,7.7624,0.0365,0.0000,2.7595,1.1497,2.0000,-0.2143,0.0076,0.6609,3.5447,-0.1095
2023-11-06,5.4081,-0.0524,15.3226,0.1000,0.0000,11.4981,1.2862,0.0000,-0.3115,0.0365,0.8631,-4.1757,-0.0615
2023-11-07,5.1585,-0.0473,3.2490,0.0645,0.0000,2.1242,1.3224,0.0000,-0.1456,0.0154,0.8531,-3.2835,-0.0161
2023-11-08,5.4081,0.0473,0.6066,0.0538,0.0000,0.2710,1.4980,1.0000,-0.1408,0.0484,0.8521,-2.4335,-0.0615
2023-11-09,5.1585,-0.0473,1.0347,0.0806,0.0000,0.7892,1.5331,0.0000,-0.1341,0.0308,0.8390,-2.1632,-0.0161
2023-11-12,5.2417,0.0160,0.1597,0.0317,0.0000,0.1363,1.5683,1.0000,-0.1649,0.0323,0.8363,-1.8212,-0.0317
2023-11-14,5.3249,0.0157,0.4843,0.0391,0.0000,0.3517,1.5885,2.0000,-0.1920,0.0159,0.8232,-1.5276,-0.0469
2023-11-15,5.0753,-0.0480,1.9073,0.0984,0.0000,1.5321,1.5582,0.0000,-0.0035,0.0000,0.8057,-1.6252,0.0492
2023-11-16,5.3249,0.0480,1.1308,0.0625,0.0000,0.3870,1.5727,1.0000,-0.1299,0.0000,0.7841,-1.2781,0.0156
2023-11-19,5.5745,0.0458,0.3101,0.0075,0.0000,0.1287,1.6415,2.0000,-0.1152,0.0469,0.7752,-1.1051,-0.0299
2023-11-20,5.8241,0.0438,0.7170,0.0071,0.0000,0.3728,1.6174,3.0000,-0.2108,0.0448,0.7572,-0.8879,-0.1357
2023-11-21,6.1153,0.0488,5.4133,0.0068,0.0000,2.0414,1.5101,4.0000,-0.2733,0.0500,0.7484,0.4257,-0.2585
2023-11-22,6.2401,0.0202,5.0045,0.0867,0.0000,2.0909,1.3173,5.0000,-0.3194,0.0476,0.7288,1.8346,-0.2733
2023-11-23,5.9489,-0.0478,2.8973,0.0979,0.0000,2.2834,1.4326,0.0000,-0.2267,0.0333,0.6957,0.8318,-0.2867
2023-11-27,6.0321,0.0139,1.5542,0.0690,0.0000,0.5665,1.2558,1.0000,-0.2798,0.0000,0.6638,1.3473,-0.3310
2023-11-28,5.7409,-0.0495,3.0184,0.1014,0.0000,1.7398,1.4193,0.0000,-0.1282,0.0276,0.6281,0.0896,-0.3333
